, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
42,443,131151,4,1,517,0,517,0,129.25,258.5,0,0,0.0,0.0,3942.021029,38.12399448,32787.75,24170.36991,55496,23,131151,43717.0,12675.23897,55496,30304,0,0.0,0.0,0,0,0,0,0,0,92,24,30.49919558,7.624798896,0,517,86.16666667,211.0643662,44548.16667,0,0,0,1,0,0,0,0,0,103.4,129.25,0.0,92,0,0,0,0,0,0,4,517,1,0,8192,26580,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
43,21,4,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
44,50121,69,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28985.50725,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14492.75362,14492.75362,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,349,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
45,22,10624586,19,31,2008,2745,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,447.3586077,4.706065723,216828.2857,566363.8579,2071791,3,8511841,472880.0556,776315.2138,1884014,411,10600000,354148.6667,693331.2432,2071791,3,0,0,0,0,616,1000,1.788304975,2.917760749,0,976,93.19607843,193.9302988,37608.96078,0,0,0,1,0,0,0,0,1,95.06,105.6842105,88.5483871,616,0,0,0,0,0,0,19,2008,31,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,2
46,8080,63825,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5342.734038,109.6748923,10637.5,25007.02318,61677,43,63825,21275.0,36320.3256,63213,43,62244,31122.0,43211.2954,61677,567,0,0,0,0,92,72,62.67136702,47.00352526,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
47,21,8249897,9,15,103,188,21,0,11.44444444,9.015418891,34,0,12.53333333,14.54975045,35.27316765,2.909127229,358691.1739,929688.7623,2891642,3,5316947,664618.375,1226463.243,2780723,223,8249807,589271.9286,1147338.753,2891642,3,0,0,0,0,296,488,1.090922711,1.818204518,0,34,11.64,12.51958466,156.74,0,0,0,1,0,0,0,0,1,12.125,11.44444444,12.53333333,296,0,0,0,0,0,0,9,103,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
48,21,190,2,2,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,73684.21053,21052.63158,63.33333333,59.51750443,122,3,190,190.0,0.0,190,190,3,3.0,0.0,3,3,1,0,0,0,64,40,10526.31579,10526.31579,0,14,5.6,7.668115805,58.8,0,1,0,0,1,0,0,0,1,7.0,7.0,0.0,64,0,0,0,0,0,0,2,14,2,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
49,22,183,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10928.96175,183.0,0.0,183,183,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,5464.480874,5464.480874,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
50,59854,116,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17241.37931,116.0,0.0,116,116,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8620.689655,8620.689655,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,494,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
51,21,9953601,9,15,110,188,27,0,12.22222222,10.08436634,34,0,12.53333333,14.54975045,29.93891357,2.41118767,432765.2609,1114331.699,3423091,23,6610763,826345.375,1503635.079,3464921,212,9953499,710964.2143,1374197.707,3423091,48,0,0,0,0,296,488,0.904195376,1.506992294,0,34,11.92,12.78970941,163.5766667,0,0,0,1,0,0,0,0,1,12.41666667,12.22222222,12.53333333,296,0,0,0,0,0,0,9,110,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
